"Long","Lat","Easting","Northing"
174.7759973,-41.28000699,313745.623242371,5427773.25283879
174.7762436,-41.28012197,313766.578620898,5427761.01558299
174.7762135,-41.28030693,313764.583761027,5427740.41565156
174.7762755,-41.28045706,313770.203433413,5427723.88036514
174.7761857,-41.28124308,313764.918276501,5427636.41911261
174.7761882,-41.28199425,313767.264356547,5427553.02514704
174.7749119,-41.28204276,313660.511854618,5427544.89992191
174.7746663,-41.28215876,313640.272974139,5427531.49359551
174.7744068,-41.28277172,313620.284803239,5427462.88191045
174.7741465,-41.28311887,313599.473245956,5427423.78024143
174.7745769,-41.28307188,313635.385015668,5427429.92162876
174.7747454,-41.28287512,313648.936655602,5427452.12889584
174.7748976,-41.28236637,313660.235279232,5427508.94011983
174.7759893,-41.28231819,313751.527952373,5427516.63261056
174.7761747,-41.28258365,313767.810306906,5427487.55750427
174.776223,-41.28326539,313773.794640613,5427411.9703263
174.775902,-41.28386689,313748.622555674,5427344.49940671
174.7755965,-41.28449147,313724.814738692,5427274.49916657
174.7751058,-41.28494304,313685.005207439,5427223.30986122
174.7752456,-41.28539347,313697.994860717,5427173.60054307
174.7756457,-41.28547364,313731.729749947,5427165.55839001
174.775723,-41.28560062,313738.564605694,5427151.62621542
174.7756466,-41.28573943,313732.561405197,5427136.05072724
174.7751243,-41.28592527,313689.3500225,5427114.29652901
174.7747102,-41.28628425,313655.692975593,5427073.55135426
174.7748334,-41.28634181,313666.174186854,5427067.42522325
174.7756628,-41.28599363,313734.64138715,5427107.86269232
174.7763247,-41.28617733,313790.594898864,5427088.88761649
174.7764333,-41.28648915,313800.576561481,5427054.5005037
174.775991,-41.28763399,313766.793470558,5426926.44444354
174.7760863,-41.28858141,313777.469598446,5426821.46068291
174.7763645,-41.28902004,313802.014359477,5426773.35828347
174.7780605,-41.29031124,313947.709978931,5426633.63905089
174.7793086,-41.29104855,314054.320174791,5426554.45360653
174.7795703,-41.29110585,314076.397370851,5426548.65254892
174.7806182,-41.29172797,314165.913532487,5426481.82566895
174.7818654,-41.29216482,314271.591064427,5426435.99411279
174.7840983,-41.29298121,314460.882464199,5426350.13031538
174.7844381,-41.29339663,314490.513574035,5426304.73438478
174.7864784,-41.29178642,314656.799440289,5426487.86938731
