Group,Sample ID,Samp m [g],UTM east [m],UTM north [m],Longitude,Latitude,Samp type,Depth [m] (min),Depth [m] (max),Cond electr [µS/cm],pH,Al [mg/kg],As [mg/kg],B [mg/kg],Ba [mg/kg],Be [mg/kg],Ca [mg/kg],Cd [mg/kg],Ce [mg/kg],Co [mg/kg],Cr [mg/kg],Cu [mg/kg],Fe [mg/kg],Ga [mg/kg],Gd [mg/kg],Ge [mg/kg],K [mg/kg],La [mg/kg],Mg2+ [mg/kg],Mn [mg/kg],Mo [mg/kg],Na [mg/kg],Nb [mg/kg],Nd [mg/kg],Ni [mg/kg],P [mg/kg],Pb [mg/kg],S [mg/kg],Sc [mg/kg],Si [mg/kg],Sr [mg/kg],Th [mg/kg],Ti [mg/kg],V [mg/kg],Y [mg/kg],Zn [mg/kg],Zr [mg/kg]
3,10,0.302,391985,6465481,115.8572,-31.94148,Soil,0,0.05,376,7.56,18064.22307,6.42327,,54.5765,0.18994,18651.18807,0.1544,3.99733,4.0111,31.13894,45.23921,39355.82561,12.92628,0.90283,2.53304,393.78675,2.96435,1141.97906,97.68542,1.82428,313.20917,21.7572,1.106,17.56839,398.24599,86.50001,687.11611,0.90588,802.21683,89.6975,5.52892,246.51659,68.08775,2.46018,263.88086,7.26768
3,11,0.307,391983,6465465,115.8572,-31.94162,Soil.wetland,0,0.05,93.1,7.94,5099.13074,3.97235,,108.55134,0.14541,4092.01799,0.26862,5.72339,3.3461,13.15063,98.0463,18321.14735,3.26116,0.77176,1.21396,172.07631,3.08826,472.12747,95.70695,0.65751,152.81704,14.45044,1.51755,9.50835,297.46397,259.64132,214.92757,0.65362,709.05241,24.7124,2.60914,169.19866,16.7593,2.33685,400.31581,1.46415
4,1,0.312,392006,6465382,115.8574,-31.94237,Sediment,0,0.05,246,6.08,11402.36277,21.91568,,143.06906,0.55283,9848.01229,0.65804,15.30538,4.06998,36.70397,111.76747,33637.04048,7.04725,2.00904,2.14616,454.24738,8.47367,1395.26584,141.36255,4.50504,132.29158,26.35073,5.59277,10.62924,1220.19994,230.02988,1311.79994,1.21335,984.05286,44.55938,2.26997,299.09288,36.59717,10.70871,900.07313,1.02496
4,2,0.316,391987,6465406,115.8572,-31.94216,Sediment,0,0.05,234,5.96,12727.10126,9.31461,,149.07002,0.2762,10599.06416,0.80579,16.41782,5.63616,40.63929,139.87473,21407.40316,2.2869,1.72766,1.66891,514.45241,9.01832,1886.54318,150.37272,4.34844,185.38581,29.16512,5.01481,17.17733,891.2507,291.96237,1526.40912,1.18041,1051.86765,45.89918,1.51548,334.007,32.08104,7.08081,1224.69426,1.81853
4,3,0.301,391982,6465392,115.8572,-31.94228,Sediment,0,0.05,124.7,6.26,2869.591674,1.84063,,33.19674,0.06437,4234.57762,0.14562,4.65729,1.48461,10.07542,31.18678,4210.466395,0.53493,0.44186,0.7587,112.88016,2.25958,325.71136,31.6549,0.65076,44.71568,7.75516,1.05291,6.85821,372.21745,46.03923,259.02149,0.31709,666.01073,14.74206,0.82224,87.86716,6.88414,1.4415,183.25086,0.56238
4,4,0.317,391978,6465405,115.8571,-31.94216,Sediment,0,0.05,142.9,6.56,2594.052412,1.76442,,41.23166,0.08617,6009.42226,0.10413,3.40105,1.23723,6.96738,52.40981,10628.85217,0.67785,0.50153,0.77453,186.46889,2.00515,377.10891,54.29449,0.43154,81.16688,12.56703,,4.42522,215.70644,467.06268,188.2995,0.4258,536.18857,17.75292,2.62425,146.68979,12.1663,2.02616,159.23012,0.704
4,5,0.312,391965,6465414,115.857,-31.94208,Sediment,0,0.05,166,6.44,1510.331466,13.14433,,37.26535,0.16595,8455.69974,,,1.94323,7.00852,13.14101,56956.38051,18.59143,1.07457,2.79868,85.34783,1.65016,393.52238,44.35533,0.65143,34.73118,5.49631,2.13426,2.04784,532.94719,22.34418,325.03168,0.13414,545.97614,22.55215,1.15217,47.67379,13.35065,3.89759,94.6964,0.08116
4,6,0.313,391959,6465434,115.8569,-31.9419,Sediment,0,0.05,136.9,6.47,12797.55239,6.61242,,73.58467,0.17577,7354.07277,0.17873,5.50324,2.91911,21.32864,68.26986,28644.72961,7.44469,0.88402,1.78169,203.59777,2.98863,485.65132,66.94643,1.06046,117.42745,22.73185,,8.92209,437.10538,1774.98197,316.92231,1.88105,798.35848,31.11329,5.46101,269.22271,54.16634,2.54785,246.99374,3.98941
5,1,0.3,391945,6465422,115.8568,-31.94201,Soil,0,0.05,450,5.76,5248.709177,2.12136,,16.08433,0.05548,1486.71591,0.03976,4.98389,0.71332,9.38423,6.35689,2852.060032,0.42534,0.37204,0.49969,253.49741,1.83448,244.55315,90.79738,0.42714,101.16565,6.58271,1.26152,1.7751,259.10394,10.01598,324.94964,0.38352,666.78887,7.71917,0.95886,81.33487,8.55562,1.59743,28.892,0.81528
5,2,0.303,391950,6465424,115.8568,-31.94199,Soil,0,0.05,124.1,7.22,15809.97675,7.90685,,242.02875,0.48044,6379.66455,0.42454,22.97447,9.94205,26.26038,164.41736,40726.55654,15.83838,2.01024,1.85073,436.21315,8.30943,1324.64289,220.62322,0.99217,299.58819,17.68979,5.35356,15.00933,493.81965,441.35845,372.72217,2.62638,1322.90774,46.49017,6.36745,199.90879,52.07259,5.71022,429.82463,4.41332
